artist,title,year_released,rating,review,genre,query,album_id,my_track,my_album,my_artist,my_label,artist_orig,title_orig,year_released_orig,rating_orig,review_orig,genre_orig,query_orig,album_id_orig,my_track_orig,my_album_orig,my_artist_orig,my_label_orig,artist_norm_orig,my_artist_norm_orig,title_norm_orig,my_album_norm_orig
A$AP Rocky,At.Long.Last.A$AP,2015,7.8,"game still just work major understood hard early good likely passing more private long its better his primary influential unfathomable collaborative plus which completed much infinite best glaring personal most short baby all two new real sure careful recent one open revealing these persistent last level lasting During the gap between A$AP Rockyâ€™s sophomore album, At.Long.Last.A$AP, and his major label debut, his mentor A$AP Yamsâ€™ died. With A.L.L.A.â€”executive produced by Yams, along with Danger Mouse and featuring Kanye, Lil Wayne, Future, and M.I.A. among othersâ€”a real sense of identity has begun to coalesce in Rockyâ€™s work.",Rap,world rap soul guidance healing,193,In My Dreams,Isolation,Kali Uchis,EMI,Kali Uchis,Isolation,2018,8.6,"willing equal just melancholy work live omnivorous far good more rosy general its used wistful psychedelic ambitious his wonderful solid physical old adjacent breezy past congruous mission invited which giving best destructive plain soaring quality resonant most perky life sad richer vocal right holiday west one last poor rich dreamy her The debut album from the Colombian-American singer is a world of her own. Her wide range pulls in sounds from reggaetÃ³n, funk, and R&B and positions her to become a new gravitational force in pop.",Pop/R&B,funk pop jazz soul wistful dreamy,9995,,,,,kali uchis,,isolation,
A$AP Rocky,LIVELOVEA$AP,2011,8.2,"skilled slick chicken whole good pretty lead second enough fastest his lively old unavoidable odd standard enduring several adopted well only much alien purple chanting high known worst slow future two worth every easy commercial first new cool regular artful five one hot four last street blonde half The first mixtape from Rakim Mayers sidesteps the usual pitfalls of the heavily anticipated debut. Piloted by sweat-free cool and stellar production choices, LIVELOVEA$AP is a triumph of immaculate taste.",Rap,world rap,194,Nobody,Be the Cowboy,Mitski,Dead Oceans,Mitski,Be the Cowboy,2018,8.8,"elderly fantastic major time gigantic more its long toxic same cold content old fifth inside definitive big complex only another exhausted violent much even internal large extra inescapable exaggerated unique drenched devastating insatiable choice both jagged small two all worth icy vast each heavy slow relieved fuzzy first such breathtaking exterior fulfilling selected candid these last knotty floral white whose peerless her purposeful futile The fifth album from the singular songwriter is her greatest to date. From the music to her emotions, Mitski has the power to make the complex seem dazzlingly clear.",Rock,disco pop country drone,13065,,,,,mitski,,be the cowboy,
A-Trak,Tuna Melt EP,2012,7.5,"manipulative either time far more predisposed popping chemical clear well essential alien potential both efficient vocal such technical established half work ridiculous gold very lead winning musical away motivating several former another simple rhythmic choice every intended least latter business possible main imaginable near certified his aspiring same which inescapable female other baby complaining one distinct legitimate four acid marked unfair young double capable its enough influential popular constant minute most kind house successful modern total new left full prestigious booming The Fool's Gold cofounder, and onetime Kanye West tour DJ, knows what qualities a song needs to move a crowd. This new four-song EP is cleary intended to put that knowledge to work.",Electronic / Rap,tribute world disco dubstep funk house retro turntablism edm glitchy electro,203,1901,Wolfgang Amadeus Phoenix,Phoenix,Glassnote,Phoenix,Wolfgang Amadeus Phoenix,2009,8.5,"half just insane live hysterical hard flamboyant more its enough better his effective biggest invincible big musical away universal whispering treacherous respectable dramatic much internal large extra high fourth known less both all two important bigger sentimental first staggering sure formal working little sophisticated full five one smaller these cryptic romantic tiny thematic established elusive eight each Nearly 10 years into its career, the underrated French band has honed its sleek and increasingly effective bursts of pop to a fine point.",Rock,pop comedy romantic rock,15125,,,,,phoenix,,wolfgang amadeus phoenix,
A. Savage,Thawing Dawn,2017,7.2,"human favorite previous oblique deeply work frantic more savage current its shabby obvious outside his chic steel cozy smart literal meditative ultimate light divided rustic unsettled less resonant most both personal two red dirty intimate dissonant modern first actual new trying south exterior gentle one moral open traditional cryptic brown fitting acoustic computer main gorgeous The debut solo LP from Andrew Savage of Parquet Courts finds him singing more intimately about love in quieter, more rustic settings. In its own peculiar way, it speaks to our current condition.",Rock,sepia world intimate soul punk,208,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,Darkroom/Interscope Records,Billie Eilish,"When We All Fall Asleep, Where Do We Go?",2019,7.2,"famous upward young just still time tectonic gross lucid grim more its animal worthy obvious burning deep giggling sufficient old tearful dark humming striking several only much sporting best female delicate straightforward creative grand grotesque glassy kind status bored waiting all middle black absent precocious frequent false sleek prissy woozy creepy one lawless sinister transparent inspired listless consummate her feathery The debut album from the meteoric pop star lives in a world of its own: gothic, bass-heavy, at turns daring and quite beautiful.",Pop/R&B,world dubstep dark flowing edm pop,2086,,,,,billie eilish,,when we all fall asleep where do we go,
ABBA,Arrival,1976,8.6,"just vicious major far second head its living outside winning same solid united biggest old invincible which light much round fourth top two house first transformative false changing five one subsequent latter four equivalent greatest romantic unstoppable whose alone troubled At their best, as on Arrival, ABBA wereÂ as mysterious as Bowie, as rococo as Phil Spector, as unbearably sad as the Smiths.",Pop/R&B,folk romantic rock house eurovision pop,218,L$D,AT.LONG.LAST.A$AP,A$AP Rocky,A$AP Worldwide/Polo Grounds Music/RCA Records,A$AP Rocky,At.Long.Last.A$AP,2015,7.8,"game still just work major understood hard early good likely passing more private long its better his primary influential unfathomable collaborative plus which completed much infinite best glaring personal most short baby all two new real sure careful recent one open revealing these persistent last level lasting During the gap between A$AP Rockyâ€™s sophomore album, At.Long.Last.A$AP, and his major label debut, his mentor A$AP Yamsâ€™ died. With A.L.L.A.â€”executive produced by Yams, along with Danger Mouse and featuring Kanye, Lil Wayne, Future, and M.I.A. among othersâ€”a real sense of identity has begun to coalesce in Rockyâ€™s work.",Rap,world rap soul guidance healing,193,In My Dreams,Isolation,Kali Uchis,EMI,aap rocky,kali uchis,atlonglastaap,isolation
AC/DC,Back in Black,1980,8.8,"equal previous young horrific older freezing legendary hard time lead long its perpetual used enough following born earnest his biggest seventh unlikely old impish sudden loud musical opening uniform enduring trick emblematic plus only harmless much even best large accessible less most black all successful kitchen heavy right actual five faithful one next latter particular impossible whose cheap threatening tuneful alone continuous Each Sunday, Pitchfork takes an in-depth look at a significant album from the past, and any record not in our archives is eligible. Today, we revisit the classic rock staple from a band who rebounded from tragedy to record one of the biggest albums ever made.",Rock,metal rock,222,The Less I Know The Better,Currents,Tame Impala,Universal Music Australia Pty. Ltd.,Tame Impala,Currents,2015,9.3,"near melancholy either clean hard good more second despairing tame its obvious better toxic his primary same sweet old effervescent opening close which well even best bad entire simple ingenious most perfect less life two structural house every obsessive melodic modern first total centered trying left changing front one talented open these romantic whose daft random half nocturnal Nearly every song onÂ CurrentsÂ is a statement of leader Kevin Parker's range and increasing expertise as a producer, arranger, songwriter, and a vocalist.Â Parker is writingÂ popÂ songs here, and doing them justice, and Currents is the result of a supernaturally talented obsessive trying to perfect music.",Rock,world disco funk romantic rock house analog punk pop nocturnal,18745,,,,,tame impala,,currents,
AFCGT,AFCGT,2010,6.5,indelible still disparate muted squealing likely more foreign thick concerned psychedelic final familiar feeling dark angular unexpected away uneasy bewildering textural which former clear watery grinding even large other both respective black two ominous such new prepared golden nautical down muffled endless full friendly one jarring particular fascinating white quick whose different strange Former members of the still-underrated A-Frames team with members of Climax Golden TwinsÂ for a record ofÂ drones and sound collages.,Experimental / Rock,noise dark drone rock atmospheric punk pop rising,234,"Holland, 1945",In the Aeroplane Over the Sea,Neutral Milk Hotel,Merge Records,Neutral Milk Hotel,In the Aeroplane Over the Sea,2005,10,"near young still overwhelmed time neutral beautiful muted seven more later head ok slanted his perceptive single dark frank well beginning enchanted personal varied top most small certain middle every key devastated important kitchen first great left restrained one embarrassed these four cracked sea significant different computer The reissue of Neutral Milk Hotelâ€™s cult classic offers another opportunity to measure its reach and influence. Jeff Mangumâ€™s masterpiece mixes hushed folk, explosive brass, and unforgettable vocals that touch on pain, loss, memory, and hope.",Rock,world dark rock,13826,,,,,neutral milk hotel,,in the aeroplane over the sea,
AFI,AFI (The Blood Album),2017,5,"just dress expert whole major awesome work very triumphant pretty long its seductive enough second living better outside same popular old musical blatant close sizable dead due much even vital special high kind limber certain wholesome all every right necessary new vigorous five independent one critical least white whose surprising The timing couldnâ€™t be better for AFIâ€™s triumphant comeback; instead, they just sorta came back.Â ThisÂ new LP worksÂ aÂ â€œback to basicsâ€� operating principle, but itâ€™s a â€œbasicsâ€� that doesnâ€™t serve them.",Rock,world poetry rock capoeira emo,235,Everything Now,Everything Now,Arcade Fire,Columbia,Arcade Fire,Everything Now,2017,5.6,"dim just silver longer global lousy more tiresome its ok worthy available earnest cosmic contrary content diffuse technological satirical pronounced joyless which meaningful another tangled infinite large pervasive minute top kind lost all life two heavy modern new separate secret one these least whose daily daft computer half overwhelming The Montreal bandâ€™s fifth album finds them in musical and lyrical stasis. The pale, joyless songs donâ€™t transcend their social critiqueâ€”they succumb to it.",Rock,kompa cosmic disco fake punk,1103,Australia,Wincing the Night Away,The Shins,Sub Pop Records,arcade fire,the shins,everything now,wincing the night away
AFX,Hangable Auto Bulb,2005,8.9,"huge day time hypnotic more low inside stuttering mobile close alien powerful classical ensuing both black future two fuzzy limited adventurous wanting half each work emotional very lead later following obvious bouncing only another much even hectic alive every imaginary restrained serene spastic blonde proper previous pretend general second his feeling frank which extra unusual banging first recent rare one selected next greatest electronic cut fond transformed digital single purring striking quality most fast kind all sick real ready memorable exciting full these forward strange tuneful eight laughable Warp reissues Aphex Twin's the 1995 HAB EP and 12"" together as one eight-track package.",Electronic,jungle metal blues distorted electronic ambient otherworldly classical,237,A-Punk,Vampire Weekend,Vampire Weekend,XL Recordings,Vampire Weekend,Vampire Weekend,2008,8.8,"just day work clean hard time edgy understood good more orange quiet casual happy same old learned away past former which light much other simple plain chattering most perky kind sly all natural sunny straight easy first new south left great full west one least these last four convinced cut each Already one of the most talked-about and divisive records of the year, Vampire Weekend's Afro-pop- and preppy-inflected debut is simple, jaunty, homespun, and-- like the early albums from fellow fast-risers Belle & Sebastian and the Strokes were on their release-- one of the most refreshing and replayable indie records in recent years.",Rock,pop rock,21737,,,,,vampire weekend,,vampire weekend,
AIDS Wolf,March to the Sea,2010,6.9,"lonely still just desperate either hard very far original snotty more its animal dogmatic better rough grueling same musical cavernous slight caged which universal much sonic stylistic common powerful convincing unique minute less flying choice jagged unrelenting both mixed brutal most melodic two throbbing first wet such clinical friendly one next sea detached inspired whose strident her Prog-punk can often come off like an exercise, but with AIDS Wolf it sounds more inspired than clinical, less a stylistic choice than a calling.",Experimental / Rock,monastic punk workout wrestling,240,Sun's Out,Routines,Hoops,Fat Possum,Hoops,Routines,2017,7,"huge slick just work hard time early far squirming more fat following its relentless used head long obvious born flat schematic solar unavoidable leading away instrumental moving former which well only light encouraging best positive proactive inevitable other third comfortable top passive small all every life wrong house highest first new great smooth full appropriate one fresh polished these four next latter fine forward concise novel quick different half each compact The lo-fi bedroom rock project from Indiana brings smooth guitar licks into clearer focus with their Fat Possum debut, a light and bright collection of weaving, winding psych-pop.",Rock,house pop polished atmospheric,8300,,,,,hoops,,routines,
ANOHNI and the Johnsons,My Back Was a Bridge for You to Cross,2023,8.7,"slick just day work hard time live global alone likely more its enough failed precarious earnest his gritty unexpected musical close past much cross even powerful blue known personal less black life worth safe modern vocal first trying south down prompt provocative complicated daring voluminous one open subsequent these warning organic political honest thematic hostile whose inspired her legal After 13 years, Anohni gets the band back together for a soulful and intense record that provides a safe place to grieve nothing less than the destruction of the planet.",Experimental,gritty world otherworldly soul,256,SWEET,SATURATION II,BROCKHAMPTON,"QUESTION EVERYTHING, INC. / EMPIRE",BROCKHAMPTON,Saturation II,2017,7.2,"just still knowing biting gold appealing good more second its long enough his same sweet odd extension biographical musical material nebulous ferocious much fashionable even objective glaring third less most glossy short two all richer important first right trying cool valuable west one imminent polished sinister political fitting magnetic different On their second album in as many months, the Los Angeles rap crew keep developing their sleek and cool performance style but offer new bouts of aggression and swagger.",Rap,glossy polished rap funk abstract flowing motivation,1477,Zebra,Teen Dream,Beach House,Bella Union,brockhampton,beach house,saturation ii,teen dream
AU,Versions,2009,7.6,"just time more long better material well essential encouraging difficult experimental known outer two frequent wanting lower last dogged whimsical latest wacky loose exuberant away musical yellow past even creative every circular distinctive imaginative ornate expressive poised tasteful stable previous manageable remaining his correct which giving unusual unique singular less impressive one crowded open next intriguing its animal enough roomy flexible single classic special quality most pleading slow all house modern aching total new real down left full five strong these spare The slippery, underappreciated Portland band reworks its own previous material, andÂ in just about every case improve upon the source material.",Folk/Country,folk world experimental house pop exuberant,263,SLOW DANCING IN THE DARK,BALLADS 1,Joji,88rising Music/Warner Records,Joji,BALLADS 1,2018,6.7,bizarre equal near filthy emotional home seven more viral later second quiet toxic hungry his tormented same single dark musical frank usual past moving cleared shiny pink objective high simple social both slow all right first new driven great danceable full friendly one tedious vile fine tired aware rich main elastic Jojiâ€™s first full-length project features a host of guests in a quality effort to help push past the confines of his bedroom walls and tedious heartache.,Pop/R&B,world bassline rap pop dark harp grime,9645,,,,,joji,,ballads 1,
AZ,Doe or Die II,2021,7.3,older flawless still work cultural hard major more fat its long better born his old chilly productive fragile past which weighty well sober much brooding best even bad other unique status subtle life all brutal operatic stark nonsensical heavy signed dirty logical lesser new technical grating plane one fresh rare level political criminal established alone The Brooklyn rapper follows up his 1995 debut with an ornate sequel that indulges nostalgia on its own terms.,Rap,drama rap world brooding,264,Glitter,Flower Boy,"Tyler, The Creator",Columbia,"Tyler, the Creator",Flower Boy,2017,8.5,"immature extended work whole time pretty more lead sincere empty head later enough occasional flat hopeful his inclusive furious old odd upsetting inward foul literal colorful awakening meditative vitriolic divided much snooty youthful less most juvenile warm future black all straight trying sloppy banned working creepy fair gentle one obscene subsequent these penetrating particular next transformational white trenchant On Tylerâ€™s sincere and most accomplished album, he gets to the essence of what he's been chiseling at: the angst of a missed connection, the pain of unrequited love, and navigating youthful ennui.",Rap,warm rap funk punk hopeful,21544,,,,,tyler the creator,,flower boy,
Aaron Dilloway,Modern Jester,2012,7.7,"favorite still either major hard time live likely seven more environmental its enough used involved deep his harsh sharp which only sonic even best accessible other sparse minute both kind subtle all every two life lost modern easy repetitive patient such real trying wordless left down broken mean lengthy woozy massive one open dense lopsided four these fascinating steady half each Six years after leaving Wolf Eyes, Aaron Dilloway releases a collection that feels like a major statement, even if it's made of wordless, sometimes harsh noise.",Experimental,world dense noise steady environmental ambient rolling,268,Ms. Jackson,Stankonia,Outkast,Arista/LaFace Records,OutKast,Stankonia,2000,9.5,"specific deeply local major more fat notorious its southern born hopeful public wholesale furious harsh big increasing musical colorful incomparable which only weighty universal giving sonic even other fourth singular mixed two all unpredictable distinctive key scrappy melodic cautious south sleek five subversive adventurous least late organic weary What couldâ€™ve been a victory lap for two Southern rappers on top of the game was instead a transcendental funk fantasia, an unequivocal commercial and artistic triumph.",Rap,world funk rap country bounce soul pop hopeful,14556,,,,,outkast,,stankonia,
Ab-Soul,Herbert,2022,6,"just specific work hard funniest very telling more later latest its both better deep elastic his public inquisitive isolated old single fun away opening alleged several complex academic only written best clever reflective known personal most top worst sly short life shocking two every boring nonsensical straight first new real down left overwrought corny serious rare one lean these latter last least spiritual historical late political street marked unsettling half cut After a tumultuous few years, the TDE rapper gets personal and sounds reinvigorated, but his worst tendencies as a rapper consistently hold him back.",Rap,rap soul,272,Frank's Track,The Life Of Pablo,Kanye West,Rock The World/IDJ/Kanye LP7,Kanye West,The Life of Pablo,2016,9,"just whole major beautiful early various preoccupied good second permanent born hurried final celebrated his content old popping dark big clear which even convincing blue insatiable focused sly turbulent both life every wry first new direct comparable down formal sloppy little complicated full artistic faithful broken west one twisted least fascinating late period inspired party half each scribbled Finally, after a protracted and often chaotic roll-out, the new Kanye West album is here.Â The Life of PabloÂ is the first Kanye West album that's just an album: No major statements, no reinventions, no zeitgeist wheelie-popping. But a madcap sense of humor animates all his best work, and the new record has a freewheeling energy that is infectious and unique to his discography.",Rap,rap gospel dark,10027,,,,,kanye west,,the life of pablo,
Ab-Soul,These Days...,2014,7.7,"game just still major time subliminal its second her living poignant celebrated outside his crossed grey close several opening plus which only dead giving obligatory even best bright other known most resonant status black signed proud middle every life terrible formidable commercial first strongest lyrical cinematic impressive full five one these cerebral last level repeated terminal tough moody Ab-Soul's latest, long-delayed album calls back to the glory days of the Black Hippy collective's impressive 2012 run, with the sprawling runtime, resonant repeated catchphrases, and grey-toned mood to prove it. The more human Ab-Soul dares to be on record, the stronger he becomes.",Rap,outsider rap soul cinematic dub,273,Fade,The Life Of Pablo,Kanye West,Rock The World/IDJ/Kanye LP7,Kanye West,The Life of Pablo,2016,9,"just whole major beautiful early various preoccupied good second permanent born hurried final celebrated his content old popping dark big clear which even convincing blue insatiable focused sly turbulent both life every wry first new direct comparable down formal sloppy little complicated full artistic faithful broken west one twisted least fascinating late period inspired party half each scribbled Finally, after a protracted and often chaotic roll-out, the new Kanye West album is here.Â The Life of PabloÂ is the first Kanye West album that's just an album: No major statements, no reinventions, no zeitgeist wheelie-popping. But a madcap sense of humor animates all his best work, and the new record has a freewheeling energy that is infectious and unique to his discography.",Rap,rap gospel dark,10027,,,,,kanye west,,the life of pablo,
Aberdeen,What Do I Wish for Now? (Singles & Extras 1994-2004),2006,7.7,"just still work handsome languid early good more later befitting head unnecessary current quiet its southern foreboding largest happy foggy same constant fun single big away several plus which dead internal best high gray third straightforward blue most short buoyant all super house sunny intimate translucent average new left full recent one tender true polished last annual dreamy Career-spanning singles and cast-offs collection from twee California-based miserablists who, despite their sunny desert origins, know from rainy days and Mondays.",Rock,foggy tender polished buoyant trembling house intimate pop dreamy,279,She Wants To Move,Fly Or Die,N.E.R.D,Virgin Records,N.E.R.D.,Fly or Die,2004,3.1,"contentious steely time gold home wide mumbled opened better unknown outside his same unconventional seventh old embarrassing crazy large most boring senior all every convinced fierce left cool goofy synthetic ninth open true shocked spare computer forgotten True thirty year-old nerds:
Justin Morgalis.
After I flicked the back of his ear repeatedly in seventh grade Geography class ...",Rap,pop funk rock,13564,,,,,nerd,,fly or die,
Aberfeldy,Young Forever,2004,3.4,willing human favorite young still lonely vegetarian just unadorned beautiful good sullen its second her wasted bungling earnest his winning old single standard lovely sensitive which well another written obligatory best even tangled blue plain unique warm cute unpretentious short subtle sad straight kitchen vivid first veritable such strongest mean medical little modest interesting cheerful one exposed sacred open tender next last complete trite acoustic whimsical spoken alone cut Debut from these newcomers to the Rough Trade label have just won NME's Single of the Week. What is wrong with people?,Rock,warm pop world tender,280,BOY BYE,GINGER,BROCKHAMPTON,Question Everything/RCA Records,BROCKHAMPTON,GINGER,2019,6.5,"huge just still home good likely more its unsolvable scattered accused better central born fit his disjointed jittery cold clear neglected inefficient weekly light compelling even best cheerless common creative personal both lost all life house sad abandoned murky trying communal down little broken recent confirmed massive severe open pessimistic cramped four these dejected least forward disorganized narrow quick present different front north moody each After a brief hiatus, the restlessly creative group returns with a compelling but disjointed record about self-fulfillment.",Rap,abstract house murky jittery hollywood,1474,Following You,Un,Chumbawamba,No Masters,brockhampton,chumbawamba,ginger,un
Abra,Rose,2015,6.6,"human game just melancholy work hard time splintered good seven basic lead its despairing long scattered concerned earnest final sole content dark otherwise complex which nebulous light somber shy well compelling brooding even best curious stylistic sparse known creative awful varied most both quality moody discordant two red house background heavy vocal first secondary real corrective lyrical secret one strong hot four upbeat honest electronic her eight cut colorless For her debut album, now reissued on vinyl by Ninja Tune, Abra draws on the cynicism of darkwave and its brooding hues, while making room for brighter beats, quicker tempos, and lyrical vulnerability.",Pop/R&B,electronica ninja electronic dark rock house synthpop punk pop reggae brooding,286,Ordinary Pleasure,Outer Peace,Toro y Moi,Carpark Records,Toro y Moi,Outer Peace,2019,7.4,"just double cultural possible filtered good typical more garish giddy spry low his pleasant receding inside single contemporary breezy away enjoyable instrumental only stylistic excellent forgettable outer most flying wry all every house sad neither vocal wet such new sparkling little rare lean silky remarkable satisfying last savvy late inspired dogged whose half proper ugly Chaz Bear delivers a smartly crafted, comfortably mid-fi album of grooves and melancholyâ€”itâ€™s one of his best albums in years.",Electronic,bassline disco rap rock distorted house,21215,,,,,toro y moi,,outer peace,
AceMo,Existential,2019,7.3,"upward favorite inspiring just philosophical stuffed work live time spare home far more long its enormous floating low fit his distant towering committed gaseous unexpected busy moving sharp meditative which another much best populous other simple chattering both black approachable all life future stark slow surprising lost first frequent new ready average down prolific daring one these four last spiritual historical different whose introverted gleaming eight purposeful each The New York producer tailors his overdriven techno epics to unusually introspective ends, sculpting stripped-down arrays of synth and drums into spare, expressive forms.",Electronic,techno jungle floating,300,From the Sun,II,Unknown Mortal Orchestra,Jagjaguwar,Unknown Mortal Orchestra,II,2013,7.3,"budget still work inventive just hard time early outspoken very good more lucid its assured head loose unknown fit his wonderful odd big rewarding trick former well another sonic opinionated overall compelling even startling bad simple rhythmic soulful lost two middle all bigger minor first bent such trying coincidental lyrical little interesting one frustrating mortal challenging worn least remarkable four despondent latter incredible damaged The Portland/New Zealand band's second album is equal parts occasionally remarkable and frustrating, split between incredible pop songs and turgid guitar noodling with very little middle ground.",Rock,funk rock sleep soul pop,21666,,,,,unknown mortal orchestra,,ii,
AceMoMA,A New Dawn,2020,7.6,still work ecstatic time neutral home anxious current second enough imperfect same furious familiar healthy classic collaborative dark close past only raw much dramatic even cut best beginning fast perfect both black all two red house every key heavy minor first vocal repetitive new ready working prolific menacing full recent woozy unofficial palpable fresh instant last acid brown inspired party half proper each Rising New York fixtures AceMo and MoMA Ready team up on a collaborative album that pays homage to the fast-and-loose aesthetics of â€™90s underground dance music.,Electronic,techno jungle breakcore beatdown latin dark ambient house swing raw trance,301,Creature Comfort,City Sun Eater in the River of Light,Woods,Woodsist,Woods,City Sun Eater in the River of Light,2016,7.6,"just still either work hard live time early delirious home more lead its free loose his periodic solid same familiar stately electronic classic single enjoyable clear which well light another joyous much stylistic even longing only untrained other entire nine most kind rumpled all hollow life worth scrappy straight easy first new predictable real left sure separate deliberate great recent tropical expected one these moaning eight complete thin anemic different guaranteed complacent surprising otherwise wailing After eight albums of solid if predictable psych-folk, Woods shake up their pastoral sound a bit, introducing notes of reggae and African jazz.",Rock,folk tropical world electronic rock jazz pop reggae dub,23323,,,,,woods,,city sun eater in the river of light,
Aceyalone,Magnificent City,2006,3.2,"screaming chicken just work beautiful time wide more used loose lame better fit his collaborative big painful amazing instrumental past plus well which joyous excited caged cynical stylistic best tasty nice most warm both magnificent all lost pedestrian real broken great sure west one these likable expansive inferior whose established effortless lazy gorgeous Freestyle Fellowship veteran teams his typically likable, big-hearted style with star indie hip-hop producer Rjd2.",Rap / Rock,warm rap funk freestyle scratch bounce atmospheric rolling,309,Feels Like We Only Go Backwards,Lonerism,Tame Impala,Modular,Tame Impala,Lonerism,2012,9,"confident older flawless just whole time progressive early far subliminal more lead second its tame wasted failed available psychedelic blank his same old constant loud frozen textural which majestic even experimental less kind life similar right actual new real sure trying exciting full regal expected confirmed one open late fascinating stony period electronic half Tame Impala's second full-length,Â Lonerism,Â will once again be compared to albums from the late 1960s and early 70s. But the project is exciting because, by maximizing the use of the available technology,Â it taps into the progressive and experimental spirit of psychedelic rock, and not just the sound.",Rock,experimental rock breakbeat electronic neon,18747,,,,,tame impala,,lonerism,
Acid Mothers Temple,Have You Seen the Other Side of the Sky?,2006,7,mere desperate work time various lucid pretty more general far long relentless enough free central transcendent his cosmic discarded same primary solar single dark busy continuous usual able several material intuitive well only which another much meandering special startling other simple all fertile formidable occupied heavy easy right minor muffled direct such communal pastoral full additional dazzling expected one these least last acid level radical expansive steady complete next present acoustic academic half sturdy each Makoto Kawabata and his psych-rock juggernaut reunite with the Melting Paraiso U.F.O. ensemble after a yearlong hiatus.,Experimental / Rock,folk medieval cosmic outsider dark drone rock steady jazz saturated,315,Mind,What Do You Think About the Car?,Declan McKenna,Columbia,Declan McKenna,What Do You Think About the Car?,2017,5.9,"mere previous young just floppy deeply major progressive early tempting home pretty later its vague eloquent used second obvious concerned his old muddled which written best bland twinkling female evocative most social confused confusing lost all every red super similar such interesting one numerous four The 18-year-old UK singer-songwriter Declan McKenna has been called a voice of his generation. His major label debut is scattershot, though it includes a Rostam-helmed standout.",Rock,jazz pop britpop,4976,,,,,declan mckenna,,what do you think about the car,
Acid Mothers Temple,In C,2002,8.2,"panoramic young extended just work beautiful spare very typical telling its used quiet his cosmic steel inside constant extension single reminiscent motivating spinal meditative classical high other difficult simple rhythmic magic minute intense focused perfect short slow all melodic key right first down endless exciting assorted full gentle one open calm last acid incredible different front enamored discernable her initial Terry Riley's ""In C"" was his breakthrough composition, and in many ways the piece that crystallizes the ideas behind ...",Experimental / Rock,cosmic classical rock,316,Hey Ya!,Speakerboxxx/The Love Below,Outkast,Arista,OutKast,Speakerboxxx/The Love Below,2003,8,double work cultural clean time silver home east ghostly more its better deep supreme his reluctant public sweet adjacent classic big giving even quaint pink high rebellious blue fast flaming vernacular two baby red all commercial first silly such new fuzzy separate down south repetitious right reserved little five one fresh distinct verdant critical brief organic steady enigmatic anticipated blossoming acoustic each The twelve-lane Connector plows through Atlanta like the Nile of pavement. Along its fenced banks lie the majority of the ...,Rap,pastel rock steady pop neon,14555,,,,,outkast,,speakerboxxxthe love below,
Action Bronson,Rare Chandeliers,2012,7.2,"just ridiculous good more its living obvious deep wicked blurry fit his stately classic collaborative fun rewarding contemporary frank able past clear which blue minute singular perfect both two straight crucial new funny little five unofficial one rare engrossing least party Action Bronson has both the deep imagination and wicked humor required to make his outsized persona as engrossing as it is singular. On paper, the Queens rapper's mixtape with fellow old-school N.Y. revivalist Alchemist should have no trouble living up to expectations.",Rap,pop rap world,330,The Man Who Sold The World - Live,MTV Unplugged In New York,Nirvana,DGC,Nirvana,MTV Unplugged in New York,1994,9.5,"famous mortified just day hard time relaxed more enough quiet his biggest electric miserable contemporary worried spontaneous normal giant even fast most approachable black subtle subdued alternative first teenage down five one next whose acoustic alone Each Sunday, Pitchfork takes an in-depth look at a significant album from the past, and any record not in our archives is eligible. Today, we revisit Nirvanaâ€™s transcendent live acoustic album recorded in 1993.",Rock,metal pop world,14007,,,,,nirvana,,mtv unplugged in new york,
Action Bronson,Saaab Stories,2013,6.1,"opulent just double time party gold wide more following its used misleading loose better retired obvious his tremendous unlikely prior classic rugged musical prodigious dead even clever deaf pervasive blue fast most coherent both certain middle diverse every plush real trying such full five interesting regal rare incapable hot least these particular level traditional forward brown aware official unsettling tough surprising WhileÂ Saaab StoriesÂ is Bronsonâ€™s shortest official release, itâ€™s his most diverse and sonically interesting, finding middle ground between Blue Chips' weeded-out vibe and the more traditional cratedigging onÂ Rare Chandeliers. Meanwhile, his lyrics are more degrading and base than ever.",Rap,rap comedy soul,331,About A Girl - Live,MTV Unplugged In New York,Nirvana,DGC,Nirvana,MTV Unplugged in New York,1994,9.5,"famous mortified just day hard time relaxed more enough quiet his biggest electric miserable contemporary worried spontaneous normal giant even fast most approachable black subtle subdued alternative first teenage down five one next whose acoustic alone Each Sunday, Pitchfork takes an in-depth look at a significant album from the past, and any record not in our archives is eligible. Today, we revisit Nirvanaâ€™s transcendent live acoustic album recorded in 1993.",Rock,metal pop world,14007,,,,,nirvana,,mtv unplugged in new york,
